",""smiles"""
"429,""CCO[P](=S)(Oc1ccc(cc1)[N+]([O-])=O)c2ccccc2"""
"430,""CCCCCc1ccccc1"""
"431,""ClC=C"""
"432,""[Na+].[O-][Cl](=O)=O"""
"433,""CC(O)(C#C)c1ccccc1"""
"434,""[K+].[O-][N+]([O-])=O"""
435,NA
"436,""ClC(Cl)=C"""
"437,""OCc1cccc(/C=C/c2oc(cc2)[N+]([O-])=O)n1"""
"438,""ClCl"""
"439,""[Be++].[O-][S]([O-])(=O)=O"""
440,NA
"441,""[Na+].[O-][Cl]=O"""
"442,""[Cl-].CN(CCCl)c1ccc(cc1)C=CC2=[N+](C)c3ccccc3C2(C)C"""
"443,""Clc1cccc(c1Cl)c2ccc(Cl)c(Cl)c2Cl"""
"444,""C[Hg]Cl"""
"445,""CNC(=O)Oc1cc(cc(c1)C(C)(C)C)C(C)(C)C"""
"446,""O=[Ti]=O"""
"447,""[NH4+]"""
"448,""CCCCOCCOC(=O)C(C)Oc1ccc(Cl)cc1Cl"""
"449,""C[S](Cl)(=O)=O"""
"450,""Nc1[nH]ncn1"""
"451,""ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl"""
"452,""CNC(=O)Oc1cccc(C)c1"""
"453,""Oc1ccc(C=O)c(O)c1"""
"454,""[NH4+].[OH-]"""
"455,""CN(C)N"""
"456,""[Al+3].[Cl-].[Cl-].[Cl-]"""
"457,""[O-][N+](=O)c1ccc(ONC=C2C=C(Br)C(=O)C(=C2)Br)c(c1)[N+]([O-])=O"""
"458,""O=[V](=O)O[V](=O)=O"""
"459,""CC(Cl)(Cl)C(=O)OCCOc1cc(Cl)c(Cl)cc1Cl"""
"460,""COc1ccc(NC(=O)N(C)C)cc1Cl"""
"461,""Nc1ccccc1Cl"""
"462,""[Cl-].CCN(CC)c1ccc2c(c1)[o+]c3cc(ccc3c2c4ccccc4C(O)=O)N(CC)CC"""
"463,""[OH-].[OH-].[Ca++]"""
"464,""[Cd++].CCCCCCCCCCCCCCCCCC([O-])=O.CCCCCCCCCCCCCCCCCC([O-])=O"""
"465,""CC(=O)O[Hg]c1ccccc1"""
"466,""CC(CN1C[C@H](C)O[C@H](C)C1)Cc2ccc(cc2)C(C)(C)C"""
"467,""Clc1ccc(cc1)C(C(=O)C2C(=O)c3ccccc3C2=O)c4ccccc4"""
468,NA
"469,""CC(C)N(CCC(C(N)=O)(c1ccccc1)c2ccccn2)C(C)C"""
"470,""Clc1cccc(Cl)c1"""
"471,""CN(C)C(=O)Nc1ccc(Cl)cc1"""
"472,""c1ccncc1"""
"473,""CCNc1nc(Cl)nc(NC(C)(C)C)n1.CCNc2nc(NC(C)(C)C)nc(SC)n2"""
"474,""C1CO1"""
"475,""CCO[P](=S)(OCC)SCS[P](=S)(OCC)OCC"""
"476,""CC(C)(C)c1ccccc1"""
"477,""CN(C)C(=O)Nc1ccc(Cl)cc1.OC(=O)C(Cl)(Cl)Cl"""
"478,""Cc1cc(Cl)ccc1OCCCC(O)=O"""
"479,""[Cl-].CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O.[H+]"""
"480,""[Cr]"""
"481,""CC(C)c1ccccc1O[P](=O)(Oc2ccccc2)Oc3ccccc3.O=[P](Oc4ccccc4)(Oc5ccccc5)Oc6ccccc6"""
482,NA
"483,""CC(C)N(C(C)C)C(=S)SSC(=S)N(C(C)C)C(C)C"""
"484,""[Fe+3].[Fe+3].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O"""
"485,""[H+].[Cl-].CN(C)CCC=C1c2ccccc2CCc3ccccc13"""
"486,""Nc1ccccc1"""
"487,""CC(C)=CC(=O)C=C(C)C"""
"488,""Clc1cccc(n1)C(Cl)(Cl)Cl"""
"489,""Oc1ccccc1C(=O)Oc2ccccc2"""
"490,""[O-][N+](=O)c1cccc(Cl)c1"""
"491,""CC1Cc2c3C(C)Cc3c4C(C)C5(CC5C)c4c2[S](=O)(=O)O1"""
492,NA
"493,""CC(C)c1ccc2c(CC[C@H]3[C@@](C)(CCC[C@]23C)C(O)=O)c1"""
494,NA
"495,""COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1"""
"496,""[O-][N+](=O)c1ccccc1"""
"497,""[O-][S]([O-])(=O)=O.O=[V++]"""
498,NA
"499,""CC(C)C1(C)N=C(NC1=O)c2ncccc2C(O)=O"""
"500,""COc1cc(CC=C)ccc1O"""
"501,""CC(C)Cc1ccc(cc1)C(C)C(O)=O"""
"502,""C1C=CC2C3CC(C=C3)C12"""
"503,""CCO[P](=S)(OCC)SCSCC"""
"504,""Nc1ccc(Cl)cc1"""
505,NA
506,NA
"507,""OC(=O)c1c(Cl)ccc(Cl)c1Cl"""
"508,""COc1ccc(C(C)=O)c(OC)c1OC"""
"509,""CCCCC(O)(Cn1cncn1)c2ccc(Cl)cc2Cl"""
"510,""CC(=O)OC=C"""
"511,""[Pb++].[O-]N=O.[O-]N=O"""
"512,""O=C1CN(CC2N1CCc3ccccc23)C(=O)C4CCCCC4"""
"513,""CCCCCCCCC(Cl)C(Cl)CCCCCCCC(O)=O"""
"514,""CN(C)[P](=O)(N(C)C)N(C)C"""
"515,""N.N.OC(O)=O"""
"516,""Oc1cc(Cl)c(Cl)c(Cl)c1Cl"""
"517,""CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O"""
"518,""O=C1Oc2ccccc2C=C1"""
"519,""[Cl-].CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O.[H+]"""
"520,""[Na+].[Na+].[O-]B=O.[O-][Cl](=O)=O"""
"521,""[OH-].[Na+]"""
"522,""Oc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O"""
"523,""ClC=C(Cl)Cl"""
"524,""CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12"""
"525,""CCCCC\C=C\C"""
"526,""O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"""
"527,""[Na+].[SH-]"""
"528,""COC(=O)\C=C(/C)O[P](=O)(OC)OC"""
"529,""C=CC#N"""
"530,""FC(F)(F)c1ccncc1C(=O)NCC#N"""
"531,""CC(C)c1ccc(C=O)cc1"""
"532,""[Na+].CCC1CCC(CCC([O-])=O)C1"""
"533,""CC(O)CN(CC(C)O)CC(C)O.Nc1c(Cl)c(Cl)cc(C(O)=O)c1Cl.OC(=O)COc2ccc(Cl)cc2Cl"""
"534,""[As]"""
"535,""CCCCOCCOC(=O)COc1nc(Cl)c(Cl)cc1Cl"""
"536,""BrC(Br)Br"""
"537,""CCOc1ccc(cc1)C(C)(C)COCc2cccc(Oc3ccccc3)c2"""
"538,""CNC(=O)O\N=C1/[C@@H](Cl)C2C[C@H](C#N)C1C2"""
"539,""CC(=O)OC(C)=O"""
"540,""C[Se]CC[C@H](N)C(O)=O"""
541,NA
"542,""[Al+3].[K+].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O"""
"543,""[Cl-].[Cl-].[Ni++]"""
"544,""CCC(C(c1ccc(Cl)cc1)c2ccc(Cl)cc2)[N+]([O-])=O.CC(C(c3ccc(Cl)cc3)c4ccc(Cl)cc4)[N+]([O-])=O"""
"545,""CC(C)C(O)(c1ccc(OC(F)(F)F)cc1)c2cncnc2"""
"546,""N#CCCOCCC#N"""
"547,""CC(C)CO"""
548,NA
"549,""Cc1ccc(O)cc1C"""
"550,""Nc1ccc(Cl)cc1Cl"""
"551,""C1OCOCO1"""
"552,""Cc1cc(C)cc(C)c1"""
553,NA
"554,""CCCCOCCO[P](=O)(OCCOCCCC)OCCOCCCC"""
"555,""CCO[P](=O)(OCC)SCCSCC.CCO[P](=S)(OCC)OCCSCC"""
"556,""[B+3].[B+3].[B+3].[B+3].O.O.O.O.O.O.O.[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Na+].[Na+]"""
"557,""[Na+].[Na+].[O-][Cr]([O-])(=O)=O"""
"558,""CC(O)CO"""
"559,""Oc1ccccc1CC=C"""
"560,""OB(O)O"""
"561,""[K+].[O-]N=O"""
"562,""C1CCCCC1"""
"563,""Cc1ccc(O[P](=O)(Oc2ccc(C)cc2)Oc3ccc(C)cc3)cc1"""
"564,""CCCCOCCOC(=O)C(C)Oc1cc(Cl)c(Cl)cc1Cl"""
"565,""Cc1cc(O)ccc1Cl"""
"566,""[Na+].[Na+].[Na+].[O-][P]([O-])([O-])=O"""
567,NA
"568,""O|[Sn](c1ccccc1)(c2ccccc2)c3ccccc3"""
"569,""Nc1c(Oc2ccccc2)cc(O)c3C(=O)c4ccccc4C(=O)c13"""
"570,""CN(C)C(=S)S[Cu]SC(=S)N(C)C"""
"571,""COc1nc(C)nc(NC(=O)N[S](=O)(=O)c2ccccc2Cl)n1"""
"572,""Cc1cc(nc(Nc2ccccc2)n1)C3CC3"""
"573,""CCCCOCCO"""
"574,""[O-][N+](=O)N1CN(CN(CN(C1)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O"""
"575,""Cc1cc(Cl)ccc1OCC(O)=O"""
576,NA
577,NA
"578,""Clc1ccc(O[S](=O)(=O)c2ccccc2)cc1"""
579,NA
"580,""[Zn++](|[S-]c1cccc[n+]1[O-])|[S-]c2cccc[n+]2[O-]"""
"581,""COC(=S)SSC(=S)OC"""
"582,""[Na+].[O-][S]([O-])=O"""
"583,""Cc1cccc(C)c1O"""
"584,""N#CCC#N"""
"585,""[O-][N+](=O)c1cccc(c1)C#N"""
"586,""CCC(C)c1cc(cc(c1OC(=O)C=C(C)C)[N+]([O-])=O)[N+]([O-])=O"""
587,NA
588,NA
"589,""O[As](O)(O)=O"""
"590,""[O-][n+]1ccc(Cl)cc1"""
591,NA
"592,""O[P](O)(O)=O"""
"593,""C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O"""
"594,""[Mg++].[O-][S]([O-])(=O)=O"""
595,NA
"596,""CC(C)(C)c1ccc(CCOc2ncnc3ccccc23)cc1"""
"597,""CCCCCCC=C"""
"598,""c1ccc2nc3ccccc3cc2c1"""
"599,""Cl|[Zr](|Cl)=O"""
"600,""[Na+].CCCOC1=NN(C(=O)N=[S]([O-])(=O)c2ccccc2C(=O)OC)C(=O)N1C"""
"601,""CNC(=O)CS[P](=O)(OC)OC"""
"602,""[Na+].Cc1ccc(cc1[S]([O-])(=O)=O)[N+]([O-])=O"""
603,NA
"604,""CO\N=C(C1=NOCCO1)/c2ccccc2Oc3ncnc(Oc4ccccc4Cl)c3F"""
"605,""[Na+].CC(Cl)(Cl)C([O-])=O"""
"606,""COC(=O)c1c(Cl)c(Cl)c(c(Cl)c1Cl)C(=O)OC"""
"607,""CCOC(=O)c1ccccc1C(=O)OCC"""
"608,""Clc1cccc(c1)c2cccc(Cl)c2"""
"609,""OCc1cocc1"""
"610,""CCCC(C)CCCOC(=O)C(C)Oc1cc(Cl)c(Cl)cc1Cl"""
"611,""[Na+].OC([O-])=O"""
"612,""CCO[P](=O)(OCC)O[P](=O)(OCC)OCC"""
"613,""[Mn++].[O-][S]([O-])(=O)=O"""
614,NA
"615,""CO[P](=O)(OC)OC(Br)C(Cl)(Cl)Br"""
"616,""CCO[P](=S)(OCC)OC(Cl)C(Cl)(Cl)Cl"""
"617,""Cc1cc(C)nc(Nc2ccccc2)n1"""
"618,""Clc1cccc(Cl)c1Cl"""
"619,""CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O.O[P](O)(O)=O"""
"620,""Cc1cccc(c1)[N+]([O-])=O"""
"621,""NC(=O)c1ccc(Cl)cc1Cl"""
"622,""CCO[P](=S)(OCC)OC(/C)=C/C(=O)OC"""
"623,""Oc1ccccc1[Hg]Cl"""
"624,""[Zn++].[S-]C(=S)NCCNC([S-])=S"""
"625,""[Cl-].[Cl-].[Sn++]"""
626,NA
"627,""OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"""
"628,""CC#N"""
"629,""CNN"""
"630,""OC(=O)c1cccc(Cl)n1"""
"631,""C1C2CC3CC1CC(C2)C3"""
"632,""[Cl]|[Sn](CCCC)(CCCC)CCCC"""
"633,""CC(O)CN"""
"634,""O=C1OC(=O)C=C1"""
"635,""CCCCCCCCCCCCCCCCCCN(CCOCCO)CCOCCO"""
"636,""C=Cc1ccccc1"""
"637,""[Cl-].[Cl-].[Pb++]"""
638,NA
"639,""CCC(O)=O"""
"640,""CNC(=O)CCSCCS[P](=O)(OC)OC"""
"641,""CCCCSP(SCCCC)SCCCC"""
"642,""[Ba++].[O-]C([O-])=O"""
"643,""Oc1ccccc1c2ccccc2"""
"644,""CNC(=O)O\N=C\C(C)(C)[S](C)(=O)=O"""
645,NA
"646,""OC1=C(C2CC(Cc3ccccc23)c4ccc(cc4)c5ccc(Br)cc5)C(=O)c6ccccc6O1"""
647,NA
"648,""CN(C)C=O"""
"649,""CC(C)CC(C)CC(C)c1ccc(O[P](=O)(Oc2ccccc2)Oc3ccccc3)cc1"""
650,NA
"651,""COc1cc(Cl)c(OC)cc1Cl"""
"652,""[Cl-].[Cl-].[Cl-].[Fe+3]"""
"653,""O[Se](O)=O"""
"654,""Oc1cccc(Cl)c1"""
"655,""CO[P](=S)(OC)SCSc1ccc(Cl)cc1"""
"656,""COC1=C(Oc2ccccc2C1=O)c3ccccc3"""
"657,""CC(=C)C1CCC(=CC1)C"""
"658,""[O-][N+](=O)c1ccc(cc1)[N+]([O-])=O"""
"659,""[Na+].O[As](O)(O)=O"""
"660,""CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2"""
"661,""NC(=O)C(Br)(Br)C#N"""
"662,""O.O.O.O.O.[Na+].[Na+].[O-][S]([S-])(=O)=O"""
"663,""CCCCCC(=O)CC"""
"664,""CCO[P](=S)(OCC)SCCSCC"""
665,NA
"666,""CCCC(CC)CCOC(=O)COc1cc(Cl)c(Cl)cc1Cl"""
667,NA
"668,""CCSCCS[P](=S)(OC)OC"""
"669,""CCCCCCCCC#N"""
"670,""[Na+].[N-]=[N+]=[N-]"""
"671,""Nc1ccc(cc1)c2ccc(N)cc2"""
"672,""C=CC=O"""
"673,""CCCCOCCCC"""
"674,""CCOC(=O)c1ccccc1O"""
"675,""[H+].[Cl-]"""
"676,""CNC(=O)N(C)c1sc(nn1)C(C)(C)C"""
"677,""COCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(c1)C(O)=O"""
"678,""[Na+].[O-]C(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl"""
"679,""[Na+].[Na+].[Na+].[Na+].[Na+].[O-][P]([O-])(=O)O[P]([O-])(=O)O[P]([O-])([O-])=O"""
"680,""Cc1ccc2nc3SC(=O)Sc3nc2c1"""
"681,""CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13"""
"682,""CCN(CC)c1nc(C)cc(O[P](=S)(OC)OC)n1"""
683,NA
"684,""CC(=O)CC(C)=O"""
"685,""O(c1ccccc1)c2ccccc2"""
"686,""O=[Cr](=O)=O"""
"687,""[Na+].[Na+].[S-]C(=S)NCCNC([S-])=S"""
"688,""[K+].Nc1c(Cl)c(Cl)nc(C([O-])=O)c1Cl"""
"689,""CBr"""
"690,""ClCC(Cl)Cl"""
"691,""CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1"""
"692,""CCOC(=O)c1cccc(N)c1.C[S](O)(=O)=O"""
"693,""O=C1C=CC(C=C1)=Nc2ccc3[nH]c4ccccc4c3c2"""
"694,""CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2"""
"695,""O=CC=O"""
"696,""C=CCOC(=O)c1ccccc1C(=O)OCC=C"""
"697,""S=C1Nc2ccccc2S1"""
"698,""NC(=O)CCl"""
699,NA
"700,""CN(C)C(CS[S](=O)(=O)c1ccccc1)CS[S](=O)(=O)c2ccccc2"""
"701,""[K+].CCCCCCCCCc1ccccc1[O-]"""
702,NA
"703,""COC(=O)Nc1[nH]c2ccccc2n1"""
"704,""CSc1nc(NC(C)C)nc(NC(C)C)n1"""
705,NA
"706,""[Na+].[Na+].[O-]C(=O)C1C2CCC(O2)C1C([O-])=O"""
"707,""CCOCN(C(=O)CCl)c1c(C)cccc1CC"""
"708,""[Na+].[Na+].[O-][S](=O)(=O)c1cc2ccc(nc2c(c1)[S]([O-])(=O)=O)C3C(=O)c4ccccc4C3=O"""
"709,""CCCCN(CC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O"""
710,NA
"711,""O=[Te]=O"""
"712,""Clc1ccc(c(Cl)c1)c2ccc(Cl)cc2Cl"""
"713,""CC(C)O[P](=O)(OC(C)C)SCc1ccccc1"""
"714,""[Cl-].CCCCCCCCCC[N+](C)(C)Cc1ccccc1"""
"715,""ClC(Cl)(Cl)SN1C(=O)c2ccccc2C1=O"""
"716,""[Na+].[O-][I](=O)=O"""
"717,""CCO[P](=S)(OCC)Oc1ccc(cc1)[S](C)=O"""
"718,""CCN(CC)c1c(cc(c(N)c1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O"""
"719,""[O-][N+](=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O"""
"720,""CCc1nn(C)c(C(=O)NCc2ccc(cc2)C(C)(C)C)c1Cl"""
"721,""[Ni]"""
"722,""Cc1cc(C)c(C)cc1C"""
"723,""Cc1cccc(O)c1"""
"724,""ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2"""
"725,""[Cl-].CCCCCCCCCC[N+](C)(C)CCCCCCCCCC"""
"726,""CSC1=NN=C(C(=O)N1N)C(C)(C)C"""
727,NA
"728,""[O--].[O--].[O--].[Sb+3].[Sb+3]"""
"729,""[Na+].OC[S]([O-])(=O)=O"""
"730,""CC(O)CCl"""
"731,""OC(=O)C(Br)Br"""
"732,""Clc1cc(Cl)c(cc1Cl)c2c(Cl)c(Cl)c(c(Cl)c2Cl)c3c(Cl)cc(Cl)c(Cl)c3Cl"""
"733,""CCCCOC(=O)c1ccccc1C(=O)OCc2ccccc2"""
"734,""C[S](=O)(=O)Oc1ccc(Cl)cc1Cl"""
735,NA
"736,""CCO[P](=O)(OCC)OC(=C\Cl)/c1ccc(Cl)cc1Cl"""
"737,""CCCCOCCOCCOCc1cc2OCOc2cc1CCC"""
"738,""CCN(CC(C)=C)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O"""
"739,""CCCCOCCOCCO"""
"740,""CN1SC2=C(CCC2)C1=O"""
"741,""O.O.O.O.O.O.[Ni++].[O-][N+]([O-])=O.[O-][N](=O)=O"""
"742,""C[S](=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(c1)[N+]([O-])=O"""
"743,""OCC(Br)(CO)[N+]([O-])=O"""
744,NA
"745,""OC(=O)CN(C[P](O)(O)=O)C[P](O)(O)=O"""
"746,""CC1(C)CON(Cc2ccccc2Cl)C1=O"""
"747,""Nc1ccc(cc1Cl)c2ccc(N)c(Cl)c2"""
"748,""CC1=CC(=O)CC(C)(C)C1"""
749,NA
750,NA
"751,""OCCN1CCOCC1"""
"752,""[O-][N+](=O)NC1=NCCN1Cc2ccc(Cl)nc2"""
"753,""CN=C(NCc1sc(Cl)nc1)N[N+]([O-])=O"""
"754,""Nc1c(Cl)cc(cc1Cl)[N+]([O-])=O"""
"755,""c1ccc(cc1)N=Nc2ccccc2"""
"756,""CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1"""
"757,""CCCS[P](=O)(OCC)SCCC"""
"758,""CC(C)=O"""
759,NA
"760,""[Cl]|[Sn](|[Cl])(|[Cl])|[Cl]"""
"761,""[O-][S]([O-])(=O)=O.O=[U++]=O"""
"762,""CCCCC(CC)CN"""
"763,""C1Cc2cccc3cccc1c23"""
"764,""CO[P](=S)(OC)Oc1ccc(c(Cl)c1)[N+]([O-])=O"""
"765,""CN(C)NC(=O)CCC(O)=O"""
"766,""CCOC(=O)C(Cl)C(=O)OCC"""
"767,""CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3"""
768,NA
"769,""CN[P](=O)(OC)Oc1ccc(cc1Cl)C(C)(C)C"""
"770,""[Zn++].[O-][N+]([O-])=O.[O-][N+]([O-])=O"""
"771,""Nc1ccc(cc1)N(CCO)CCO.O[S](O)(=O)=O"""
"772,""COCCCNc1nc(NC(C)C)nc(SC)n1"""
"773,""[O-][N+]=O"""
"774,""O=[Cd]"""
"775,""Cc1ccc(Cl)cc1[N+]([O-])=O"""
"776,""COc1nc(NC(C)C)nc(NC(C)C)n1"""
"777,""O=C1NNC(=O)C=C1"""
"778,""CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C"""
"779,""Oc1ccc2ccccc2c1"""
"780,""[Co++].[O-]C([O-])=O"""
"781,""O=[O]=O"""
"782,""CC1(C)C(C=C2CCCC2)C1C(=O)OCc3coc(Cc4ccccc4)c3"""
"783,""CCl"""
"784,""O=[Zn]"""
"785,""CCCCCN"""
"786,""[Fe++].[O-][S]([O-])(=O)=O"""
787,NA
"788,""CCSC(=O)N(CC)C1CCCCC1"""
"789,""CCCCCCCO"""
"790,""[I-].C[n+]1ccccc1Cl"""
791,NA
"792,""[Pb]"""
"793,""[Na+].[O-]C(=O)Cc1c(Cl)ccc(Cl)c1Cl"""
"794,""NC(N)=O"""
"795,""COc1ccc(\C=C\C)cc1"""
"796,""CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C"""
"797,""CCN[P](=S)(OC)OC(/C)=C\C(=O)OC(C)C"""
"798,""Oc1c(Cl)ccc(Cl)c1Cl"""
"799,""CCCCCOC(C)=O"""
800,NA
"801,""Nc1ccc(F)cc1C(F)(F)F"""
"802,""[Na+].Nc1c(cc(Nc2ccccc2)c3C(=O)c4ccccc4C(=O)c13)[S]([O-])(=O)=O"""
803,NA
804,NA
"805,""CO[P](=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl"""
"806,""CCC1COC(=O)O1"""
"807,""CC(C)(C)c1ccc(O)cc1"""
808,NA
809,NA
"810,""CCC(C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]3C[C@@H](C/C=C(C)/[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)/C=C/C=C/6CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@]67O)C)O2.CO[C@H]8C[C@@H](O[C@@H](C)[C@@H]8O)O[C@H]9[C@H](C)O[C@H](C[C@@H]9OC)O[C@H]\%10[C@@H](C)/C=C/C=C/%11CO[C@@H]%12[C@H](O)C(=C[C@@H](C(=O)O[C@H]%13C[C@@H](C/C=C%10C)O[C@@]%14(CC[C@H](C)[C@H](O%14)C(C)C)C%13)[C@]%11%12O)C"""
"811,""CC1=NNC(=O)N(C1)\N=C\c2cccnc2"""
"812,""COC(=O)c1ccccc1[S](=O)(=O)NC(=O)Nc2nc(OC(F)F)cc(OC(F)F)n2"""
"813,""CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn2cncn2"""
"814,""Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O"""
"815,""CC(=C)[C@@H]1C2OC(=O)C1[C@]3(O)CC4O[C@]45C(=O)O[C@H]2[C@]35C.CC(C)(O)[C@@H]6C7OC(=O)C6[C@]8(O)C[C@H]9O[C@]9%10C(=O)O[C@H]7[C@]8%10C"""
816,NA
"817,""CC1(C)C(=C)[C@]2(Cl)C(Cl)[C@@]1(Cl)C(Cl)(Cl)C2(Cl)Cl"""
"818,""OCCC#C"""
"819,""CNC"""
"820,""C[C@H]1C(SC(=O)N1C(=O)NC2CCCCC2)c3ccc(Cl)cc3"""
"821,""Oc1c(Cl)cc(Cl)cc1Cl"""
"822,""[Na+].[Na+].CCN(Cc1cccc(c1)[S]([O-])(=O)=O)c2ccc(cc2)[C+](c3ccc(cc3)N(CC)Cc4cccc(c4)[S]([O-])(=O)=O)c5ccccc5[S]([O-])(=O)=O"""
"823,""CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1"""
"824,""CC(C)C1=CC=C(C)CC1"""
"825,""CCc1cc(C)cc(CC)c1C2=C(OC(=O)C(C)(C)C)N3CCOCCN3C2=O"""
"826,""CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1"""
"827,""[Na+].[O-]C(=O)Cc1c(Cl)ccc(Cl)c1Cl"""
828,NA
829,NA
"830,""CC(C)=CC1C(C(=O)OC2CC(=O)C(=C2C)CC=C)C1(C)C"""
"831,""CCCCCCCCN1SC=CC1=O"""
832,NA
"833,""CCN(CC)CC.OC(=O)COc1cc(Cl)c(Cl)cc1Cl"""
"834,""CC(C)=CC1C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C"""
"835,""[Cl-].CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1"""
836,NA
"837,""OCCCCl"""
"838,""CCCC\C=C/CCCCCCOC(C)=O"""
"839,""[NH3+]O.[NH3+]O.[O-][S]([O-])(=O)=O"""
"840,""Clc1cccc(c1)c2cc(Cl)cc(Cl)c2"""
"841,""[Na+].CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)[S]([O-])(=O)=O"""
"842,""ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl"""
"843,""[H+].[Cl-].CN(C)CCCCl"""
"844,""OC(=O)c1c(F)cccc1F"""
"845,""Nc1cc(Cl)nc(C(O)=O)c1Cl"""
"846,""CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12"""
"847,""OCc1cccc(Cl)c1"""
"848,""CCCCCCCCCCCC(=O)OCCO"""
849,NA
850,NA
"851,""ClNCl"""
"852,""Clc1ccc(Oc2ccccc2)cc1"""
"853,""CCOC(=O)CC(=O)OCC"""
"854,""C1CN2CCN1CC2"""
"855,""c1cc2ccc3cccc4ccc(c1)c2c34"""
"856,""CCOC(=O)\C=C\C(=O)OCC"""
"857,""CO[P](N)(=O)SC"""
"858,""C1COCCO1"""
"859,""CCOc1cc(O[P](=S)(OC)OC)nc(CC)n1"""
"860,""CC(C)CCC(C)=O"""
"861,""NC(=O)C=C"""
862,NA
"863,""CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2"""
"864,""[Na+].ClN1C(=O)[N-]C(=O)N(Cl)C1=O"""
"865,""CCC(C)=O"""
"866,""OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O"""
